audio,Labels,class_id,Audio_Data,Sample_Rate,Features
1_152.wav,snoring,1,[0.01759163 0.03071345 0.03511715 ... 0.20104685 0.18978363 0.21774288],22050,"[-56.679306    62.014004    -3.0282328   11.6422415    6.681538
   8.852051    -4.391487    -2.5304174   -3.1768084    3.3218293
  -0.58546394   2.9576464    4.6375175    0.08960815   1.9731556
   0.4151041    0.19067973   1.043736     1.013829    -1.3758715
  27.008804    13.725148     4.0080485    3.6351047    3.1724167
   1.811814     3.674987     5.6580086    3.6879535    1.8404293
   1.3698348    1.3588611    1.9103965    2.1601086    1.451742
   1.181756     1.2973537    0.9758669    0.8897125    0.8962602 ]"
1_41.wav,snoring,1,"[-0.00515712 -0.00815765 -0.01742887 ... -0.0252653  -0.01942047
 -0.02335048]",22050,"[-171.90852      35.947403     -4.769685      8.634753      1.2515882
    4.6918306    10.968824      0.43743238   -2.0692863     6.4080243
    4.3832846     3.5172112     6.1215115    -1.5676849     6.4563656
   -1.2904625     1.9580306    -2.32546       0.2649449     0.40120524
   89.15125      18.145771     11.502348      8.420089      7.6291013
    4.8428955     2.506586      6.795865      5.7316947     1.7119702
    4.0506754     1.7793794     1.9188995     2.7250001     4.0896354
    2.8167527     1.2938342     1.5826612     2.6685886     1.1687313 ]"
1_416.wav,snoring,1,"[ 0.00047056  0.00350552  0.00463703 ... -0.2558961  -0.26064816
 -0.215467  ]",22050,"[-66.533806    39.69775     12.166776    16.132318    -4.9971294
  11.318847     1.768113     3.2105196    9.216133     0.19351278
  -3.178286     4.49048     -0.95983815   0.11070564   0.42663047
   0.9679604   -2.612532    -2.3988645   -2.4419715   -2.6960695
  37.418087     5.9784064    6.8772306    4.8469787    2.7279804
   3.2805135    2.5484376    1.5556579    1.7322032    1.610208
   2.0035253    1.4126421    1.4971769    1.9577391    0.9194193
   1.1201899    1.246793     0.8180922    1.0626819    1.58278   ]"
1_284.wav,snoring,1,"[-7.5182179e-06  1.0837276e-03  5.2734106e-03 ...  6.7815077e-03
 -1.1367667e-02 -2.2095021e-02]",22050,"[-7.8420784e+01  1.5791531e+01 -1.4943543e+01  4.1371150e+00
 -4.7981501e+00 -6.5838318e+00  1.5908774e+01  5.9384456e+00
 -8.6135092e+00  3.1079347e+00  1.3687478e+00  1.8893642e+00
  8.9623064e-01 -9.7456248e-03 -1.2994907e+00  3.0344741e+00
 -2.8397396e+00  2.0573452e+00 -2.5423310e+00 -6.2930483e-01
  4.1972561e+01  9.7152796e+00  6.5583224e+00  9.7096100e+00
  6.7532887e+00  4.4497271e+00  6.7256231e+00  4.5962038e+00
  3.7603106e+00  2.4273825e+00  2.1020195e+00  2.3191209e+00
  4.4919767e+00  2.6268861e+00  1.8611289e+00  2.1103060e+00
  3.7425649e+00  2.7987933e+00  1.7200893e+00  2.9226518e+00]"
1_296.wav,snoring,1,"[-0.11237783 -0.09268937  0.03358001 ... -0.05857014 -0.05389941
 -0.04633845]",22050,"[-87.07702     63.283154     1.5715104   11.265655    10.091795
   8.269122    -5.0181966   -5.712457    -4.2359223    3.4554963
  -0.96205306   3.6761086    5.356528    -0.59718305   1.8502499
   0.21359728  -0.22809912   0.152526     0.8899855   -1.5170684
  70.85321     16.345493     7.121781     4.5607214    2.394686
   2.3028705    3.7902951    4.0803466    3.6183085    2.077033
   1.6087801    1.4731275    2.0526218    1.8530383    1.3897188
   1.1360782    1.4733765    1.228786     1.2978321    0.98331016]"
1_378.wav,snoring,1,[0.23806313 0.39072198 0.38504505 ... 0.2461924  0.2453459  0.2394504 ],22050,"[-83.633835    43.423008    21.628315    11.076139     7.1831226
  18.015642     9.707125    -0.20519902  13.707199     1.8986881
  -5.6668186    0.33840895  -3.1500726   -4.63958      1.052574
  -4.4339757    0.8747758   -0.6248736   -2.0576842   -3.4545226
  49.291973     7.752098     9.128525     3.7711043    4.6112905
   3.8940234    3.0058353    2.2195692    2.43569      2.1840029
   2.3340304    1.4672682    2.0864015    2.3832316    1.5830942
   0.99597603   1.127364     1.0552727    1.3723633    1.4825028 ]"
1_412.wav,snoring,1,"[-0.00660457 -0.02208322 -0.0103155  ...  0.17024004  0.16542764
  0.17615667]",22050,"[-61.823963    44.09422     12.5432825   17.551851    -6.5070066
  12.59917      0.26795235   3.7920835    9.09385      0.13165058
  -2.6730871    4.121065    -0.4568758   -0.6386657    0.640532
   0.67472404  -2.6997578   -1.9939854   -2.6033158   -2.6111937
  36.220863     7.744156     6.3800483    3.7284007    2.523761
   1.6800787    2.721341     1.7841232    1.842114     1.1362303
   2.5466638    1.7504466    1.2641056    2.3906262    0.9870955
   1.3990173    1.218281     1.0726117    1.015383     1.467301  ]"
1_159.wav,snoring,1,"[-0.06376921 -0.09407192 -0.0651994  ...  0.08830835  0.05237555
  0.06845703]",22050,"[-6.1927601e+01  6.7341377e+01 -4.0269785e+00  1.0758224e+01
  7.2540379e+00  7.5807829e+00 -4.3148246e+00 -4.7840319e+00
 -2.6072993e+00  2.0270264e+00 -1.2997222e+00  2.6840181e+00
  3.5694220e+00 -4.8064068e-01  1.6795421e+00  3.4550321e-01
  2.9944357e-01  6.2044416e-02  9.4126987e-01 -1.7166698e+00
  3.8619259e+01  4.9897680e+00  3.4397280e+00  2.3641887e+00
  4.1282854e+00  2.5395691e+00  3.7444413e+00  4.9060564e+00
  3.2866554e+00  1.8731818e+00  1.4107717e+00  2.0157514e+00
  3.0040212e+00  1.8612490e+00  1.9064461e+00  9.7212261e-01
  1.3189275e+00  8.1815743e-01  9.7656441e-01  9.3732822e-01]"
1_364.wav,snoring,1,"[-0.0436219  -0.06287784 -0.05839445 ... -0.00235244 -0.0035796
 -0.00610263]",22050,"[-53.283142    69.399704     6.824911    14.013859    12.805179
   8.474457   -12.200077    -8.305007    -5.488234     6.5339217
  -1.4673632    3.8407357    5.7608414   -2.1241686    1.1028063
   0.13912843   0.40832454  -0.43888846   1.7908481   -2.6952035
   6.898723     2.9308195    2.846342     3.1865191    4.2321067
   4.1577687    3.258589     3.70062      2.141942     1.9781843
   1.8093863    1.5609751    1.6182461    1.6514302    2.0152314
   1.5068092    1.3298746    0.8678105    0.9697604    0.6608485 ]"
1_272.wav,snoring,1,"[-0.0792241  -0.10710639 -0.09233741 ... -0.09738787 -0.08783376
 -0.0850582 ]",22050,"[-53.9361      27.239038    15.256683     6.690471    -2.7398763
   8.9991665    9.012055     0.05999162  -3.196406    11.995264
  -4.56671      7.569536     3.700675    -1.8273      -0.21147305
  -0.22677556   0.9979534    1.6515384   -0.54955286   0.1293812
  10.997148     8.21151      3.705306     5.832249     5.4853897
   6.6021047    6.259839     3.1505487    4.3927674    3.6018074
   2.524562     1.8940811    2.3448536    2.1020536    1.6041514
   1.1601086    1.5204601    1.2404169    1.6186349    1.6254054 ]"
